,store_id,dept_id,year,month,sell_price,snap_WI,sales,lag_1,lag_2,lag_3,store_id_index,year_index,features
0,WI_1,HOUSEHOLD_2,2011,1,1.7451427262895642,0,5.8998973535824915,0.0,0.0,0.0,0.0,0.0,"(8,[0,1],[1.0,1.7451427262895642])"
1,WI_1,HOUSEHOLD_2,2011,2,1.745142726289564,5150,8.001689978099135,5.8998973535824915,0.0,0.0,0.0,0.0,"(8,[0,1,2,3],[2.0,1.745142726289564,5150.0,5.8998973535824915])"
2,WI_1,HOUSEHOLD_2,2011,3,1.745142726289565,5150,8.09009578318096,8.001689978099135,5.8998973535824915,0.0,0.0,0.0,"[3.0,1.745142726289565,5150.0,8.001689978099135,5.8998973535824915,0.0,0.0,0.0]"
3,WI_1,HOUSEHOLD_2,2011,4,1.7451427262895647,5150,8.041412909393047,8.09009578318096,8.001689978099135,5.8998973535824915,0.0,0.0,"[4.0,1.7451427262895647,5150.0,8.09009578318096,8.001689978099135,5.8998973535824915,0.0,0.0]"
4,WI_1,HOUSEHOLD_2,2011,5,1.745142726289565,5150,8.038512020976814,8.041412909393047,8.09009578318096,8.001689978099135,0.0,0.0,"[5.0,1.745142726289565,5150.0,8.041412909393047,8.09009578318096,8.001689978099135,0.0,0.0]"
5,WI_1,HOUSEHOLD_2,2011,6,1.7451427262895647,5150,7.972810784121404,8.038512020976814,8.041412909393047,8.09009578318096,0.0,0.0,"[6.0,1.7451427262895647,5150.0,8.038512020976814,8.041412909393047,8.09009578318096,0.0,0.0]"
6,WI_1,HOUSEHOLD_2,2011,7,1.745142726289565,5150,7.958227192322312,7.972810784121404,8.038512020976814,8.041412909393047,0.0,0.0,"[7.0,1.745142726289565,5150.0,7.972810784121404,8.038512020976814,8.041412909393047,0.0,0.0]"
7,WI_1,HOUSEHOLD_2,2011,8,1.745142726289565,5150,7.988542982737695,7.958227192322312,7.972810784121404,8.038512020976814,0.0,0.0,"[8.0,1.745142726289565,5150.0,7.958227192322312,7.972810784121404,8.038512020976814,0.0,0.0]"
8,WI_1,HOUSEHOLD_2,2011,9,1.7451427262895647,5150,7.935945103353701,7.988542982737695,7.958227192322312,7.972810784121404,0.0,0.0,"[9.0,1.7451427262895647,5150.0,7.988542982737695,7.958227192322312,7.972810784121404,0.0,0.0]"
9,WI_1,HOUSEHOLD_2,2011,10,1.745142726289565,5150,8.003697339094368,7.935945103353701,7.988542982737695,7.958227192322312,0.0,0.0,"[10.0,1.745142726289565,5150.0,7.935945103353701,7.988542982737695,7.958227192322312,0.0,0.0]"
